,Line,English name,Russian name,Coordinates
167,9,Mendeleyevskaya,Менделеевская,"55.7810,37.6011"
168,9,Tsvetnoy Bulvar,Цветной бульвар,"55.7708,37.6187"
169,9,Chekhovskaya,Чеховская,"55.7644,37.6097"
170,9,Borovitskaya,Боровицкая,"55.7511,37.6072"
171,9,Polyanka,Полянка,"55.7379,37.6180"
172,9,Serpukhovskaya,Серпуховская,"55.7280,37.6246"
173,9,Tulskaya,Тульская,"55.7087,37.6229"
174,9,Nagatinskaya,Нагатинская,"55.6830,37.6224"
175,9,Nagornaya,Нагорная,"55.6724,37.6104"
176,9,Nakhimovsky Prospekt,Нахимовский проспект,"55.6627,37.6055"
177,9,Sevastopolskaya,Севастопольская,"55.6524,37.5984"
178,9,Chertanovskaya,Чертановская,"55.6405,37.6067"
179,9,Yuzhnaya,Южная,"55.6224,37.6090"
180,9,Prazhskaya,Пражская,"55.6124,37.6044"
181,9,Ulitsa Akademika Yangelya,Улица академика Янгеля,"55.5949,37.6004"
182,9,Annino,Аннино,"55.5828,37.5966"
183,9,Bulvar Dmitriya Donskogo,Бульвар Дмитрия Донского,"55.5693,37.5769"
184,10,Seligerskaya,Селигерская,"55.865000,37.548333"
185,10,Verkhnie Likhobory,Верхние Лихоборы,"55.855833,37.561111"
186,10,Okruzhnaya,Окружная,"55.846000,37.574250"
187,10,Petrovsko-Razumovskaya,Петровско-Разумовская,"55.8351,37.5745"
188,10,Fonvizinskaya,Фонвизинская,"55.8228,37.5881"
189,10,Butyrskaya,Бутырская,"55.8133,37.6028"
190,10,Maryina Roshcha,Марьина Роща,"55.7954,37.6162"
191,10,Dostoyevskaya,Достоевская,"55.7816,37.6151"
192,10,Trubnaya,Трубная,"55.7688,37.6200"
193,10,Sretensky Bulvar,Сретенский бульвар,"55.7668,37.6392"
194,10,Chkalovskaya,Чкаловская,"55.7565,37.6573"
195,10,Rimskaya,Римская,"55.7463,37.6819"
196,10,Krestyanskaya Zastava,Крестьянская застава,"55.7331,37.6673"
197,10,Dubrovka,Дубровка,"55.7186,37.6760"
198,10,Kozhukhovskaya,Кожуховская,"55.7074,37.6851"
199,10,Pechatniki,Печатники,"55.6934,37.7270"
200,10,Volzhskaya,Волжская,"55.6909,37.7530"
201,10,Lyublino,Люблино,"55.6758,37.7618"
202,10,Bratislavskaya,Братиславская,"55.6597,37.7505"
203,10,Maryino,Марьино,"55.6500,37.7431"
204,10,Borisovo,Борисово,"55.6334,37.7436"
205,10,Shipilovskaya,Шипиловская,"55.6211,37.7437"
206,10,Zyablikovo,Зябликово,"55.6124,37.7453"
207,11,Delovoy Tsentr,Деловой центр,"55.7475,37.5319"
208,11,Shelepikha,Шелепиха,"55.7567,37.5260"
209,11,Khoroshyovskaya,Хорошёвская,"55.7768,37.5207"
210,11,CSKA,ЦСКА,"55.7866,37.5333"
211,11,Petrovsky Park,Петровский парк,"55.7918,37.5571"
212,11,Savyolovskaya,Савёловская,"55.7936,37.5880"
213,11A,Kashirskaya,Каширская,"55.6551,37.6487"
214,11A,Varshavskaya,Варшавская,"55.6533,37.6194"
215,11A,Kakhovskaya,Каховская,"55.6530,37.5983"
216,12,Bittsevsky Park,Битцевский парк,"55.6004,37.5562"
217,12,Lesoparkovaya,Лесопарковая,"55.5821,37.5769"
218,12,Ulitsa Starokachalovskaya,Улица Старокачаловская,"55.5690,37.5767"
219,12,Ulitsa Skobelevskaya,Улица Скобелевская,"55.5481,37.5546"
220,12,Bulvar Admirala Ushakova,Бульвар Адмирала Ушакова,"55.5455,37.5430"
221,12,Ulitsa Gorchakova,Улица Горчакова,"55.5418,37.5308"
222,12,Buninskaya Alleya,Бунинская аллея,"55.5380,37.5158"
223,13,Timiryazevskaya,Тимирязевская,"55.8190,37.5789"
224,13,Ulitsa Milashenkova,Улица Милашенкова,"55.8218,37.5911"
225,13,Teletsentr,Телецентр,"55.8218,37.6089"
226,13,Ulitsa Akademika Korolyova,Улица Академика Королёва,"55.8218,37.6269"
227,13,Vystavochny Tsentr,Выставочный центр,"55.8240,37.6383"
228,13,Ulitsa Sergeya Eyzenshteyna,Улица Сергея Эйзенштейна,"55.8292,37.6449"
229,14,Okruzhnaya,Окружная,"55.8472,37.5694"
230,14,Vladykino,Владыкино,"55.8476,37.5930"
231,14,Botanichesky Sad,Ботанический сад,"55.8460,37.6413"
232,14,Rostokino,Ростокино,"55.8400,37.6653"
233,14,Belokamennaya,Белокаменная,"55.8300,37.7006"
234,14,Bulvar Rokossovskogo,Бульвар Рокоссовского,"55.8172,37.7369"
235,14,Lokomotiv,Локомотив,"55.8039,37.7460"
236,14,Izmaylovo,Измайлово,"55.7886,37.7428"
237,14,Sokolinaya Gora,Соколиная гора,"55.7714,37.7451"
238,14,Shosse Entuziastov,Шоссе Энтузиастов,"55.7590,37.7463"
239,14,Andronovka,Андроновка,"55.7411,37.7344"
240,14,Nizhegorodskaya,Нижегородская,"55.7322,37.7282"
241,14,Novokhokhlovskaya,Новохохловская,"55.7239,37.7161"
242,14,Ugreshskaya,Угрешская,"55.7183,37.6978"
243,14,Dubrovka,Дубровка,"55.7183,37.6978"
244,14,Avtozavodskaya,Автозаводская,"55.7063,37.6631"
245,14,ZIL,ЗИЛ,"55.6983,37.6483"
246,14,Verkhnie Kotly,Верхние Котлы,"55.6900,37.6189"
247,14,Krymskaya,Крымская,"55.6900,37.6050"
248,14,Ploshchad Gagarina,Площадь Гагарина,"55.7069,37.5858"
249,14,Luzhniki,Лужники,"55.7203,37.5631"
250,14,Kutuzovskaya,Кутузовская,"55.7408,37.5333"
251,14,Delovoy Tsentr,Деловой центр,"55.7472,37.5322"
252,14,Shelepikha,Шелепиха,"55.7575,37.5256"
253,14,Khoroshyovo,Хорошёво,"55.7772,37.5072"
254,14,Zorge,Зорге,"55.7878,37.5045"
255,14,Panfilovskaya,Панфиловская,"55.7991,37.4988"
256,14,Streshnevo,Стрешнево,"55.8136,37.4869"
257,14,Baltiyskaya,Балтийская,"55.8258,37.4961"
258,14,Koptevo,Коптево,"55.8397,37.5203"
259,14,Likhobory,Лихоборы,"55.8472,37.5513"
260,15,Kosino,Косино,"55.7033,37.8511"
261,15,Ulitsa Dmitriyevskogo,Улица Дмитриевского,"55.7100,37.8792"
262,15,Lukhmanovskaya,Лухмановская,"55.7085,37.9004"
263,15,Nekrasovka,Некрасовка,"55.7036,37.9264"
