,Line,English name,Russian name,Coordinates,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
126,7,Barrikadnaya,Баррикадная,"55.7612,37.5795",57,44,0,115,41,60,154,50,112,39
127,7,Pushkinskaya,Пушкинская,"55.7650,37.6079",124,61,3,190,125,86,160,46,152,88
128,7,Kuznetsky Most,Кузнецкий мост,"55.7606,37.6259",104,63,3,207,133,79,171,21,200,90
129,7,Kitay-gorod,Китай-город,"55.7553,37.6333",79,70,2,144,106,73,162,18,141,71
130,7,Taganskaya,Таганская,"55.7402,37.6522",45,54,1,117,50,55,164,43,121,49
131,7,Proletarskaya,Пролетарская,"55.7319,37.6659",27,38,0,58,25,54,140,47,112,37
132,7,Volgogradsky Prospekt,Волгоградский проспект,"55.7253,37.6869",24,24,0,40,9,34,72,8,74,5
133,7,Tekstilshchiki,Текстильщики,"55.7088,37.7316",8,25,0,28,4,19,68,17,52,14
134,7,Kuzminki,Кузьминки,"55.7056,37.7656",12,13,0,34,4,14,65,15,98,8
135,7,Ryazansky Prospekt,Рязанский проспект,"55.7170,37.7933",9,20,0,30,8,17,60,16,62,13
136,7,Vykhino,Выхино,"55.7156,37.8181",5,65,0,20,5,9,50,25,59,15
137,7,Lermontovsky Prospekt,Лермонтовский проспект,"55.7013,37.8525",3,6,0,16,6,11,33,14,55,10
138,7,Zhulebino,Жулебино,"55.6855,37.8563",5,2,0,34,7,27,52,23,76,14
139,7,Kotelniki,Котельники,"55.6743,37.8582",3,3,0,20,4,12,26,15,40,8
140,8A,Rasskazovka,Рассказовка,"55.6339,37.3347",3,5,0,10,6,5,25,11,16,4
141,8A,Novoperedelkino,Новопеределкино,"55.6396,37.3552",2,4,0,14,4,15,49,20,52,11
142,8A,Borovskoye Shosse,Боровское Шоссе,"55.6476,37.3701",6,6,0,5,2,3,23,10,17,6
143,8A,Solntsevo,Солнцево,"55.6493,37.3909",3,4,0,7,4,10,39,11,27,10
144,8A,Govorovo,Говорово,"55.6595,37.4172",4,5,0,10,2,4,27,9,31,11
145,8A,Ozyornaya,Озёрная,"55.6709,37.4491",4,5,0,14,6,13,48,23,34,10
146,8A,Michurinsky Prospekt,Мичуринский Проспект,"55.6896,37.4833",5,10,0,14,5,28,54,35,45,10
147,8A,Ramenki,Раменки,"55.6975,37.4984",5,9,0,28,8,14,60,52,81,9
148,8A,Lomonosovsky Prospekt,Ломоносовский проспект,"55.7069,37.5156",7,79,0,24,7,21,67,30,69,14
149,8A,Minskaya,Минская,"55.7246,37.4970",5,10,0,9,3,13,18,4,38,5
150,8A,Park Pobedy,Парк Победы,"55.7362,37.5182",11,17,0,42,6,29,96,21,42,16
151,8,Tretyakovskaya,Третьяковская,"55.7412,37.6274",62,61,1,106,36,56,174,34,121,50
152,8,Marksistskaya,Марксистская,"55.7411,37.6543",45,55,1,106,49,54,144,46,127,45
153,8,Ploshchad Ilyicha,Площадь Ильича,"55.7472,37.6824",20,41,3,38,10,30,78,29,59,17
154,8,Aviamotornaya,Авиамоторная,"55.7524,37.7191",13,66,0,60,9,20,74,11,86,12
155,8,Shosse Entuziastov,Шоссе Энтузиастов,"55.7576,37.7500",5,7,0,29,4,14,57,5,48,10
